FILE NAME,THETA_X,THETA_Y,EXPECTED_Y,THETA_Z,HEAD_CENTER_X,HEAD_CENTER_Y,HEAD_CENTER_Z
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_2_3.raw,0.756561,-4.8071,7.3071,1.80764,54.4366,-61.0755,707.112
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_3_1.raw,-1.01843,-0.601057,3.10106,1.98714,54.3161,-65.1798,705.392
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_3_2.raw,12.9844,3.02798,-0.527979,-1.54292,39.5472,-37.4422,700.365
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_3_3.raw,12.0225,1.64605,0.853946,-1.85859,36.1804,-35.7842,700.419
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_4_1.raw,11.7365,1.19787,32.8021,-1.06485,38.8856,-37.6888,703.506
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_4_2.raw,13.0796,25.1383,8.8617,-6.86815,7.2774,-24.8174,715.135
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_4_3.raw,11.4497,21.7225,12.2775,-6.11502,9.05579,-28.9367,715.594
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_5_1.raw,14.0174,18.3913,-0.891323,-6.17136,12.972,-24.7085,712.87
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_5_2.raw,10.9958,11.2068,6.29324,-3.57596,33.6453,-38.2812,704.915
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_5_3.raw,10.2306,12.1702,5.32977,-3.35746,32.2632,-39.9542,704.844
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_6_1.raw,10.1262,11.4248,14.0752,-2.66554,31.8087,-39.4911,705.111
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_6_2.raw,4.58943,22.1571,3.34291,-3.7495,16.0839,-39.735,713.793
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_6_3.raw,5.86057,16.7445,8.75546,-2.70493,21.7079,-38.9579,712.264
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_7_1.raw,6.34747,16.7147,-7.21471,-2.75058,22.537,-35.2812,712.23
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_7_2.raw,8.06896,7.00875,2.49125,-1.73379,33.0193,-41.5246,707.167
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_7_3.raw,8.43869,6.16995,3.33005,-1.98119,34.3544,-40.0178,706.279
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_8_1.raw,8.52952,6.09104,3.40896,-1.81824,34.9968,-42.9137,709.042
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.P/DP_8_2.raw,10.7563,6.25745,3.24255,-2.3507,33.8338,-39.8193,703.861
